ticker,earnings_date,t0,ret_1d,label_1d,ret_3d,label_3d,transcript_date,sentiment_mean,sentiment_std,sentiment_min,pct_positive,pct_negative,prep_sentiment_mean,prep_sentiment_std,qa_sentiment_mean,qa_sentiment_std,qa_prep_delta,transcript_length,n_chunks_total
MSFT,2023-07-25,2023-07-25,-0.03836388267737078,0,-0.036589226849822035,0,2023-07-25,0.19929768954371585,0.4942302753763974,-0.9397537102922797,0.5862068965517241,0.13793103448275862,0.2970546016586013,0.6697758816591363,0.11146076066562763,0.06499571685188378,-0.18559384099297369,9962,29
MSFT,2023-10-24,2023-10-24,0.030216880292997343,1,-0.0021807506231386825,0,2023-10-24,0.3953661066479981,0.3517114322473675,-0.5121931731700897,0.8076923076923077,0.038461538461538464,0.48977957957734664,0.39986215396606295,0.23700174384496428,0.20923515182631036,-0.2527778357323823,9061,26
MSFT,2024-04-25,2024-04-25,0.018079426590934533,1,-0.024634409186406706,0,2024-04-25,0.18499711080005876,0.48983061134288997,-0.8841054476797581,0.48148148148148145,0.14814814814814814,0.21475508299966653,0.7173383933705239,0.08389926538802683,0.05010716374713181,-0.1308558176116397,9327,27
MSFT,2024-07-30,2024-07-30,-0.010864652662332322,0,-0.03471574405785165,0,2024-07-30,0.2683881097473204,0.48609216112230696,-0.8624466136097908,0.6923076923076923,0.11538461538461539,0.3855497041717172,0.6231134319813388,0.1132060824893415,0.08163999203930254,-0.2723436216823757,9001,26
MSFT,2024-10-30,2024-10-30,-0.06243674656470679,0,-0.05725771899556993,0,2024-10-30,0.22088769301106886,0.3644763984536416,-0.7251910045742989,0.5357142857142857,0.10714285714285714,0.33594383162756764,0.46292137776295955,0.07551259841196813,0.05458513085620209,-0.2604312332155995,9712,28
NVDA,2023-02-22,2023-02-22,0.13121594412788845,1,0.12430413184331518,1,2023-02-22,0.23069325741380453,0.28175840940937313,-0.1671857237815857,0.625,0.041666666666666664,0.4488528590882197,0.40195921138780927,0.11677932128077373,0.08859238904685253,-0.332073537807446,8128,24
NVDA,2023-05-24,2023-05-24,0.21808788499071996,1,0.2726787876734018,1,2023-05-24,0.1687057744021769,0.27667426546618545,-0.4924717843532562,0.4074074074074074,0.037037037037037035,0.3374437120510265,0.4740458508860233,0.08462453927648694,0.0698294886505921,-0.2528191727745396,9298,27
NVDA,2023-08-23,2023-08-23,0.0009969748608850118,1,-0.005981676128382071,0,2023-08-23,0.2556151059241249,0.27592756549613334,-0.002774002030491829,0.6923076923076923,0.0,0.5151582130929455,0.3657714110318407,0.13662699278857973,0.11302186166437692,-0.3785312203043658,8843,26
NVDA,2024-08-28,2024-08-28,-0.0659779535568838,0,-0.15105072042886702,0,2024-08-28,0.20474575871888262,0.29135344883571135,-0.1373613104224205,0.46153846153846156,0.038461538461538464,0.5239711097840752,0.4174788957862935,0.08563505725837067,0.060080123624122246,-0.43833605252570457,8902,26
NVDA,2024-11-20,2024-11-20,0.005332322389721355,1,-0.07005096508101352,0,2024-11-20,0.21331044263206422,0.31021442486750084,-0.31196877360343933,0.4583333333333333,0.041666666666666664,0.491667002572545,0.469284381820277,0.10877920500934124,0.08608216875617783,-0.38288779756320374,8422,24
